"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Clariidae_ott828985_MRCA_of_taxa_in_Clarias_ott240810",24,100,21,16,2,29,100
"Enneacanthus_ott313431",0,4,0,0,0,1,39
"Esox_ott216166",5,43,0,0,0,30,100
"Hemichromis_ott312267",0,8,0,0,0,2,81
"Heros_ott870667",0,7,0,0,0,6,19
"Hoplosternum_ott64010",0,10,0,0,0,12,35
"Hypomesus_ott45215",0,73,47,0,2,30,100
"Ictalurus_ott701512",20,63,3,3,0,56,100
"Leuciscus_ott458413",0,68,0,2,0,12,100
"Limia_ott587129",0,7,0,0,0,52,43
"Lucania_ott84264",0,1,0,0,0,0,16
"MRCA_of_taxa_in_Misgurnus_ott1058127",4,35,0,0,0,87,100
"Mylocheilus_ott358408",0,10,0,0,0,3,17
"Noturus_ott357170",3,29,0,0,0,29,100
"Orthodon_?genus_in_subkingdom_SAR?_ott2825679",0,2,0,0,0,2,1
"Osteoglossum_ott179342",5,7,0,0,0,10,15
