"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Salmo salar","Salmo salar[ORGN] AND 18S","Salmo salar[ORGN] AND  16S","Salmo salar[ORGN] AND  PITS","Salmo salar[ORGN] AND  CO1","Salmo salar[ORGN] AND  COI","Salmo salar[ORGN] AND  COX1","Salmo salar[ORGN] AND  FITS","Salmo salar[ORGN] AND  ITS2","Salmo salar[ORGN] AND  ITS1","Salmo salar[ORGN] AND  trnl","Salmo salar[ORGN] AND  12S"
"Pterois volitans","Pterois volitans[ORGN] AND 18S","Pterois volitans[ORGN] AND  16S","Pterois volitans[ORGN] AND  PITS","Pterois volitans[ORGN] AND  CO1","Pterois volitans[ORGN] AND  COI","Pterois volitans[ORGN] AND  COX1","Pterois volitans[ORGN] AND  FITS","Pterois volitans[ORGN] AND  ITS2","Pterois volitans[ORGN] AND  ITS1","Pterois volitans[ORGN] AND  trnl","Pterois volitans[ORGN] AND  12S"
"Ameiurus melas","Ameiurus melas[ORGN] AND 18S","Ameiurus melas[ORGN] AND  16S","Ameiurus melas[ORGN] AND  PITS","Ameiurus melas[ORGN] AND  CO1","Ameiurus melas[ORGN] AND  COI","Ameiurus melas[ORGN] AND  COX1","Ameiurus melas[ORGN] AND  FITS","Ameiurus melas[ORGN] AND  ITS2","Ameiurus melas[ORGN] AND  ITS1","Ameiurus melas[ORGN] AND  trnl","Ameiurus melas[ORGN] AND  12S"
"Ameiurus nebulosus","Ameiurus nebulosus[ORGN] AND 18S","Ameiurus nebulosus[ORGN] AND  16S","Ameiurus nebulosus[ORGN] AND  PITS","Ameiurus nebulosus[ORGN] AND  CO1","Ameiurus nebulosus[ORGN] AND  COI","Ameiurus nebulosus[ORGN] AND  COX1","Ameiurus nebulosus[ORGN] AND  FITS","Ameiurus nebulosus[ORGN] AND  ITS2","Ameiurus nebulosus[ORGN] AND  ITS1","Ameiurus nebulosus[ORGN] AND  trnl","Ameiurus nebulosus[ORGN] AND  12S"
"Anguilla rostrata","Anguilla rostrata[ORGN] AND 18S","Anguilla rostrata[ORGN] AND  16S","Anguilla rostrata[ORGN] AND  PITS","Anguilla rostrata[ORGN] AND  CO1","Anguilla rostrata[ORGN] AND  COI","Anguilla rostrata[ORGN] AND  COX1","Anguilla rostrata[ORGN] AND  FITS","Anguilla rostrata[ORGN] AND  ITS2","Anguilla rostrata[ORGN] AND  ITS1","Anguilla rostrata[ORGN] AND  trnl","Anguilla rostrata[ORGN] AND  12S"
"Carassius auratus","Carassius auratus[ORGN] AND 18S","Carassius auratus[ORGN] AND  16S","Carassius auratus[ORGN] AND  PITS","Carassius auratus[ORGN] AND  CO1","Carassius auratus[ORGN] AND  COI","Carassius auratus[ORGN] AND  COX1","Carassius auratus[ORGN] AND  FITS","Carassius auratus[ORGN] AND  ITS2","Carassius auratus[ORGN] AND  ITS1","Carassius auratus[ORGN] AND  trnl","Carassius auratus[ORGN] AND  12S"
"Carassius auratus x 2 Megalobrama amblycephala","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND 18S","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  16S","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  PITS","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  CO1","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  COI","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  COX1","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  FITS","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  ITS2","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  ITS1","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  trnl","Carassius auratus x 2 Megalobrama amblycephala[ORGN] AND  12S"
"Carassius auratus ssp. Pengze","Carassius auratus ssp. Pengze[ORGN] AND 18S","Carassius auratus ssp. Pengze[ORGN] AND  16S","Carassius auratus ssp. Pengze[ORGN] AND  PITS","Carassius auratus ssp. Pengze[ORGN] AND  CO1","Carassius auratus ssp. Pengze[ORGN] AND  COI","Carassius auratus ssp. Pengze[ORGN] AND  COX1","Carassius auratus ssp. Pengze[ORGN] AND  FITS","Carassius auratus ssp. Pengze[ORGN] AND  ITS2","Carassius auratus ssp. Pengze[ORGN] AND  ITS1","Carassius auratus ssp. Pengze[ORGN] AND  trnl","Carassius auratus ssp. Pengze[ORGN] AND  12S"
"Carassius auratus ssp. 2 kinbuna","Carassius auratus ssp. 2 kinbuna[ORGN] AND 18S","Carassius auratus ssp. 2 kinbuna[ORGN] AND  16S","Carassius auratus ssp. 2 kinbuna[ORGN] AND  PITS","Carassius auratus ssp. 2 kinbuna[ORGN] AND  CO1","Carassius auratus ssp. 2 kinbuna[ORGN] AND  COI","Carassius auratus ssp. 2 kinbuna[ORGN] AND  COX1","Carassius auratus ssp. 2 kinbuna[ORGN] AND  FITS","Carassius auratus ssp. 2 kinbuna[ORGN] AND  ITS2","Carassius auratus ssp. 2 kinbuna[ORGN] AND  ITS1","Carassius auratus ssp. 2 kinbuna[ORGN] AND  trnl","Carassius auratus ssp. 2 kinbuna[ORGN] AND  12S"
"Carassius auratus ssp. Pingxiang","Carassius auratus ssp. Pingxiang[ORGN] AND 18S","Carassius auratus ssp. Pingxiang[ORGN] AND  16S","Carassius auratus ssp. Pingxiang[ORGN] AND  PITS","Carassius auratus ssp. Pingxiang[ORGN] AND  CO1","Carassius auratus ssp. Pingxiang[ORGN] AND  COI","Carassius auratus ssp. Pingxiang[ORGN] AND  COX1","Carassius auratus ssp. Pingxiang[ORGN] AND  FITS","Carassius auratus ssp. Pingxiang[ORGN] AND  ITS2","Carassius auratus ssp. Pingxiang[ORGN] AND  ITS1","Carassius auratus ssp. Pingxiang[ORGN] AND  trnl","Carassius auratus ssp. Pingxiang[ORGN] AND  12S"
"Carassius auratus ssp. 1 MT-2012","Carassius auratus ssp. 1 MT-2012[ORGN] AND 18S","Carassius auratus ssp. 1 MT-2012[ORGN] AND  16S","Carassius auratus ssp. 1 MT-2012[ORGN] AND  PITS","Carassius auratus ssp. 1 MT-2012[ORGN] AND  CO1","Carassius auratus ssp. 1 MT-2012[ORGN] AND  COI","Carassius auratus ssp. 1 MT-2012[ORGN] AND  COX1","Carassius auratus ssp. 1 MT-2012[ORGN] AND  FITS","Carassius auratus ssp. 1 MT-2012[ORGN] AND  ITS2","Carassius auratus ssp. 1 MT-2012[ORGN] AND  ITS1","Carassius auratus ssp. 1 MT-2012[ORGN] AND  trnl","Carassius auratus ssp. 1 MT-2012[ORGN] AND  12S"
"Carassius auratus x (Carassius carassius x Carassius auratus gibelio)","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND 18S","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  16S","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  PITS","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  CO1","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  COI","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  COX1","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  FITS","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  ITS2","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  ITS1","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  trnl","Carassius auratus x (Carassius carassius x Carassius auratus gibelio)[ORGN] AND  12S"
"Carassius auratus ssp. Kinbuna","Carassius auratus ssp. Kinbuna[ORGN] AND 18S","Carassius auratus ssp. Kinbuna[ORGN] AND  16S","Carassius auratus ssp. Kinbuna[ORGN] AND  PITS","Carassius auratus ssp. Kinbuna[ORGN] AND  CO1","Carassius auratus ssp. Kinbuna[ORGN] AND  COI","Carassius auratus ssp. Kinbuna[ORGN] AND  COX1","Carassius auratus ssp. Kinbuna[ORGN] AND  FITS","Carassius auratus ssp. Kinbuna[ORGN] AND  ITS2","Carassius auratus ssp. Kinbuna[ORGN] AND  ITS1","Carassius auratus ssp. Kinbuna[ORGN] AND  trnl","Carassius auratus ssp. Kinbuna[ORGN] AND  12S"
"Ctenopharyngodon idella","Ctenopharyngodon idella[ORGN] AND 18S","Ctenopharyngodon idella[ORGN] AND  16S","Ctenopharyngodon idella[ORGN] AND  PITS","Ctenopharyngodon idella[ORGN] AND  CO1","Ctenopharyngodon idella[ORGN] AND  COI","Ctenopharyngodon idella[ORGN] AND  COX1","Ctenopharyngodon idella[ORGN] AND  FITS","Ctenopharyngodon idella[ORGN] AND  ITS2","Ctenopharyngodon idella[ORGN] AND  ITS1","Ctenopharyngodon idella[ORGN] AND  trnl","Ctenopharyngodon idella[ORGN] AND  12S"
"Cyprinus carpio","Cyprinus carpio[ORGN] AND 18S","Cyprinus carpio[ORGN] AND  16S","Cyprinus carpio[ORGN] AND  PITS","Cyprinus carpio[ORGN] AND  CO1","Cyprinus carpio[ORGN] AND  COI","Cyprinus carpio[ORGN] AND  COX1","Cyprinus carpio[ORGN] AND  FITS","Cyprinus carpio[ORGN] AND  ITS2","Cyprinus carpio[ORGN] AND  ITS1","Cyprinus carpio[ORGN] AND  trnl","Cyprinus carpio[ORGN] AND  12S"
"Cyprinus carpio Ying hybrid","Cyprinus carpio Ying hybrid[ORGN] AND 18S","Cyprinus carpio Ying hybrid[ORGN] AND  16S","Cyprinus carpio Ying hybrid[ORGN] AND  PITS","Cyprinus carpio Ying hybrid[ORGN] AND  CO1","Cyprinus carpio Ying hybrid[ORGN] AND  COI","Cyprinus carpio Ying hybrid[ORGN] AND  COX1","Cyprinus carpio Ying hybrid[ORGN] AND  FITS","Cyprinus carpio Ying hybrid[ORGN] AND  ITS2","Cyprinus carpio Ying hybrid[ORGN] AND  ITS1","Cyprinus carpio Ying hybrid[ORGN] AND  trnl","Cyprinus carpio Ying hybrid[ORGN] AND  12S"
"Cyprinus carpio (triploid)","Cyprinus carpio (triploid)[ORGN] AND 18S","Cyprinus carpio (triploid)[ORGN] AND  16S","Cyprinus carpio (triploid)[ORGN] AND  PITS","Cyprinus carpio (triploid)[ORGN] AND  CO1","Cyprinus carpio (triploid)[ORGN] AND  COI","Cyprinus carpio (triploid)[ORGN] AND  COX1","Cyprinus carpio (triploid)[ORGN] AND  FITS","Cyprinus carpio (triploid)[ORGN] AND  ITS2","Cyprinus carpio (triploid)[ORGN] AND  ITS1","Cyprinus carpio (triploid)[ORGN] AND  trnl","Cyprinus carpio (triploid)[ORGN] AND  12S"
"Cyprinus carpio Guilin","Cyprinus carpio Guilin[ORGN] AND 18S","Cyprinus carpio Guilin[ORGN] AND  16S","Cyprinus carpio Guilin[ORGN] AND  PITS","Cyprinus carpio Guilin[ORGN] AND  CO1","Cyprinus carpio Guilin[ORGN] AND  COI","Cyprinus carpio Guilin[ORGN] AND  COX1","Cyprinus carpio Guilin[ORGN] AND  FITS","Cyprinus carpio Guilin[ORGN] AND  ITS2","Cyprinus carpio Guilin[ORGN] AND  ITS1","Cyprinus carpio Guilin[ORGN] AND  trnl","Cyprinus carpio Guilin[ORGN] AND  12S"
"Gambusia affinis","Gambusia affinis[ORGN] AND 18S","Gambusia affinis[ORGN] AND  16S","Gambusia affinis[ORGN] AND  PITS","Gambusia affinis[ORGN] AND  CO1","Gambusia affinis[ORGN] AND  COI","Gambusia affinis[ORGN] AND  COX1","Gambusia affinis[ORGN] AND  FITS","Gambusia affinis[ORGN] AND  ITS2","Gambusia affinis[ORGN] AND  ITS1","Gambusia affinis[ORGN] AND  trnl","Gambusia affinis[ORGN] AND  12S"
"Gambusia holbrooki","Gambusia holbrooki[ORGN] AND 18S","Gambusia holbrooki[ORGN] AND  16S","Gambusia holbrooki[ORGN] AND  PITS","Gambusia holbrooki[ORGN] AND  CO1","Gambusia holbrooki[ORGN] AND  COI","Gambusia holbrooki[ORGN] AND  COX1","Gambusia holbrooki[ORGN] AND  FITS","Gambusia holbrooki[ORGN] AND  ITS2","Gambusia holbrooki[ORGN] AND  ITS1","Gambusia holbrooki[ORGN] AND  trnl","Gambusia holbrooki[ORGN] AND  12S"
"Gasterosteus aculeatus","Gasterosteus aculeatus[ORGN] AND 18S","Gasterosteus aculeatus[ORGN] AND  16S","Gasterosteus aculeatus[ORGN] AND  PITS","Gasterosteus aculeatus[ORGN] AND  CO1","Gasterosteus aculeatus[ORGN] AND  COI","Gasterosteus aculeatus[ORGN] AND  COX1","Gasterosteus aculeatus[ORGN] AND  FITS","Gasterosteus aculeatus[ORGN] AND  ITS2","Gasterosteus aculeatus[ORGN] AND  ITS1","Gasterosteus aculeatus[ORGN] AND  trnl","Gasterosteus aculeatus[ORGN] AND  12S"
"Gymnocephalus cernua","Gymnocephalus cernua[ORGN] AND 18S","Gymnocephalus cernua[ORGN] AND  16S","Gymnocephalus cernua[ORGN] AND  PITS","Gymnocephalus cernua[ORGN] AND  CO1","Gymnocephalus cernua[ORGN] AND  COI","Gymnocephalus cernua[ORGN] AND  COX1","Gymnocephalus cernua[ORGN] AND  FITS","Gymnocephalus cernua[ORGN] AND  ITS2","Gymnocephalus cernua[ORGN] AND  ITS1","Gymnocephalus cernua[ORGN] AND  trnl","Gymnocephalus cernua[ORGN] AND  12S"
"Hypophthalmichthys nobilis","Hypophthalmichthys nobilis[ORGN] AND 18S","Hypophthalmichthys nobilis[ORGN] AND  16S","Hypophthalmichthys nobilis[ORGN] AND  PITS","Hypophthalmichthys nobilis[ORGN] AND  CO1","Hypophthalmichthys nobilis[ORGN] AND  COI","Hypophthalmichthys nobilis[ORGN] AND  COX1","Hypophthalmichthys nobilis[ORGN] AND  FITS","Hypophthalmichthys nobilis[ORGN] AND  ITS2","Hypophthalmichthys nobilis[ORGN] AND  ITS1","Hypophthalmichthys nobilis[ORGN] AND  trnl","Hypophthalmichthys nobilis[ORGN] AND  12S"
"Lepisosteus platostomus","Lepisosteus platostomus[ORGN] AND 18S","Lepisosteus platostomus[ORGN] AND  16S","Lepisosteus platostomus[ORGN] AND  PITS","Lepisosteus platostomus[ORGN] AND  CO1","Lepisosteus platostomus[ORGN] AND  COI","Lepisosteus platostomus[ORGN] AND  COX1","Lepisosteus platostomus[ORGN] AND  FITS","Lepisosteus platostomus[ORGN] AND  ITS2","Lepisosteus platostomus[ORGN] AND  ITS1","Lepisosteus platostomus[ORGN] AND  trnl","Lepisosteus platostomus[ORGN] AND  12S"
"Neogobius melanostomus","Neogobius melanostomus[ORGN] AND 18S","Neogobius melanostomus[ORGN] AND  16S","Neogobius melanostomus[ORGN] AND  PITS","Neogobius melanostomus[ORGN] AND  CO1","Neogobius melanostomus[ORGN] AND  COI","Neogobius melanostomus[ORGN] AND  COX1","Neogobius melanostomus[ORGN] AND  FITS","Neogobius melanostomus[ORGN] AND  ITS2","Neogobius melanostomus[ORGN] AND  ITS1","Neogobius melanostomus[ORGN] AND  trnl","Neogobius melanostomus[ORGN] AND  12S"
"Oncorhynchus gorbuscha","Oncorhynchus gorbuscha[ORGN] AND 18S","Oncorhynchus gorbuscha[ORGN] AND  16S","Oncorhynchus gorbuscha[ORGN] AND  PITS","Oncorhynchus gorbuscha[ORGN] AND  CO1","Oncorhynchus gorbuscha[ORGN] AND  COI","Oncorhynchus gorbuscha[ORGN] AND  COX1","Oncorhynchus gorbuscha[ORGN] AND  FITS","Oncorhynchus gorbuscha[ORGN] AND  ITS2","Oncorhynchus gorbuscha[ORGN] AND  ITS1","Oncorhynchus gorbuscha[ORGN] AND  trnl","Oncorhynchus gorbuscha[ORGN] AND  12S"
"Oncorhynchus mykiss","Oncorhynchus mykiss[ORGN] AND 18S","Oncorhynchus mykiss[ORGN] AND  16S","Oncorhynchus mykiss[ORGN] AND  PITS","Oncorhynchus mykiss[ORGN] AND  CO1","Oncorhynchus mykiss[ORGN] AND  COI","Oncorhynchus mykiss[ORGN] AND  COX1","Oncorhynchus mykiss[ORGN] AND  FITS","Oncorhynchus mykiss[ORGN] AND  ITS2","Oncorhynchus mykiss[ORGN] AND  ITS1","Oncorhynchus mykiss[ORGN] AND  trnl","Oncorhynchus mykiss[ORGN] AND  12S"
"Platichthys flesus","Platichthys flesus[ORGN] AND 18S","Platichthys flesus[ORGN] AND  16S","Platichthys flesus[ORGN] AND  PITS","Platichthys flesus[ORGN] AND  CO1","Platichthys flesus[ORGN] AND  COI","Platichthys flesus[ORGN] AND  COX1","Platichthys flesus[ORGN] AND  FITS","Platichthys flesus[ORGN] AND  ITS2","Platichthys flesus[ORGN] AND  ITS1","Platichthys flesus[ORGN] AND  trnl","Platichthys flesus[ORGN] AND  12S"
"Salmo trutta","Salmo trutta[ORGN] AND 18S","Salmo trutta[ORGN] AND  16S","Salmo trutta[ORGN] AND  PITS","Salmo trutta[ORGN] AND  CO1","Salmo trutta[ORGN] AND  COI","Salmo trutta[ORGN] AND  COX1","Salmo trutta[ORGN] AND  FITS","Salmo trutta[ORGN] AND  ITS2","Salmo trutta[ORGN] AND  ITS1","Salmo trutta[ORGN] AND  trnl","Salmo trutta[ORGN] AND  12S"
"Salvelinus alpinus","Salvelinus alpinus[ORGN] AND 18S","Salvelinus alpinus[ORGN] AND  16S","Salvelinus alpinus[ORGN] AND  PITS","Salvelinus alpinus[ORGN] AND  CO1","Salvelinus alpinus[ORGN] AND  COI","Salvelinus alpinus[ORGN] AND  COX1","Salvelinus alpinus[ORGN] AND  FITS","Salvelinus alpinus[ORGN] AND  ITS2","Salvelinus alpinus[ORGN] AND  ITS1","Salvelinus alpinus[ORGN] AND  trnl","Salvelinus alpinus[ORGN] AND  12S"
"Salvelinus fontinalis","Salvelinus fontinalis[ORGN] AND 18S","Salvelinus fontinalis[ORGN] AND  16S","Salvelinus fontinalis[ORGN] AND  PITS","Salvelinus fontinalis[ORGN] AND  CO1","Salvelinus fontinalis[ORGN] AND  COI","Salvelinus fontinalis[ORGN] AND  COX1","Salvelinus fontinalis[ORGN] AND  FITS","Salvelinus fontinalis[ORGN] AND  ITS2","Salvelinus fontinalis[ORGN] AND  ITS1","Salvelinus fontinalis[ORGN] AND  trnl","Salvelinus fontinalis[ORGN] AND  12S"
"Scardinius erythrophthalmus","Scardinius erythrophthalmus[ORGN] AND 18S","Scardinius erythrophthalmus[ORGN] AND  16S","Scardinius erythrophthalmus[ORGN] AND  PITS","Scardinius erythrophthalmus[ORGN] AND  CO1","Scardinius erythrophthalmus[ORGN] AND  COI","Scardinius erythrophthalmus[ORGN] AND  COX1","Scardinius erythrophthalmus[ORGN] AND  FITS","Scardinius erythrophthalmus[ORGN] AND  ITS2","Scardinius erythrophthalmus[ORGN] AND  ITS1","Scardinius erythrophthalmus[ORGN] AND  trnl","Scardinius erythrophthalmus[ORGN] AND  12S"
"Tinca tinca","Tinca tinca[ORGN] AND 18S","Tinca tinca[ORGN] AND  16S","Tinca tinca[ORGN] AND  PITS","Tinca tinca[ORGN] AND  CO1","Tinca tinca[ORGN] AND  COI","Tinca tinca[ORGN] AND  COX1","Tinca tinca[ORGN] AND  FITS","Tinca tinca[ORGN] AND  ITS2","Tinca tinca[ORGN] AND  ITS1","Tinca tinca[ORGN] AND  trnl","Tinca tinca[ORGN] AND  12S"
"Danio rerio","Danio rerio[ORGN] AND 18S","Danio rerio[ORGN] AND  16S","Danio rerio[ORGN] AND  PITS","Danio rerio[ORGN] AND  CO1","Danio rerio[ORGN] AND  COI","Danio rerio[ORGN] AND  COX1","Danio rerio[ORGN] AND  FITS","Danio rerio[ORGN] AND  ITS2","Danio rerio[ORGN] AND  ITS1","Danio rerio[ORGN] AND  trnl","Danio rerio[ORGN] AND  12S"
"Mylopharyngodon piceus","Mylopharyngodon piceus[ORGN] AND 18S","Mylopharyngodon piceus[ORGN] AND  16S","Mylopharyngodon piceus[ORGN] AND  PITS","Mylopharyngodon piceus[ORGN] AND  CO1","Mylopharyngodon piceus[ORGN] AND  COI","Mylopharyngodon piceus[ORGN] AND  COX1","Mylopharyngodon piceus[ORGN] AND  FITS","Mylopharyngodon piceus[ORGN] AND  ITS2","Mylopharyngodon piceus[ORGN] AND  ITS1","Mylopharyngodon piceus[ORGN] AND  trnl","Mylopharyngodon piceus[ORGN] AND  12S"
"Alexandrium ostenfeldii","Alexandrium ostenfeldii[ORGN] AND 18S","Alexandrium ostenfeldii[ORGN] AND  16S","Alexandrium ostenfeldii[ORGN] AND  PITS","Alexandrium ostenfeldii[ORGN] AND  CO1","Alexandrium ostenfeldii[ORGN] AND  COI","Alexandrium ostenfeldii[ORGN] AND  COX1","Alexandrium ostenfeldii[ORGN] AND  FITS","Alexandrium ostenfeldii[ORGN] AND  ITS2","Alexandrium ostenfeldii[ORGN] AND  ITS1","Alexandrium ostenfeldii[ORGN] AND  trnl","Alexandrium ostenfeldii[ORGN] AND  12S"
"Alexandrium tamarense","Alexandrium tamarense[ORGN] AND 18S","Alexandrium tamarense[ORGN] AND  16S","Alexandrium tamarense[ORGN] AND  PITS","Alexandrium tamarense[ORGN] AND  CO1","Alexandrium tamarense[ORGN] AND  COI","Alexandrium tamarense[ORGN] AND  COX1","Alexandrium tamarense[ORGN] AND  FITS","Alexandrium tamarense[ORGN] AND  ITS2","Alexandrium tamarense[ORGN] AND  ITS1","Alexandrium tamarense[ORGN] AND  trnl","Alexandrium tamarense[ORGN] AND  12S"
"Alexandrium tamarense SPE10-03","Alexandrium tamarense SPE10-03[ORGN] AND 18S","Alexandrium tamarense SPE10-03[ORGN] AND  16S","Alexandrium tamarense SPE10-03[ORGN] AND  PITS","Alexandrium tamarense SPE10-03[ORGN] AND  CO1","Alexandrium tamarense SPE10-03[ORGN] AND  COI","Alexandrium tamarense SPE10-03[ORGN] AND  COX1","Alexandrium tamarense SPE10-03[ORGN] AND  FITS","Alexandrium tamarense SPE10-03[ORGN] AND  ITS2","Alexandrium tamarense SPE10-03[ORGN] AND  ITS1","Alexandrium tamarense SPE10-03[ORGN] AND  trnl","Alexandrium tamarense SPE10-03[ORGN] AND  12S"
"Alexandrium tamarense ATSP1-B","Alexandrium tamarense ATSP1-B[ORGN] AND 18S","Alexandrium tamarense ATSP1-B[ORGN] AND  16S","Alexandrium tamarense ATSP1-B[ORGN] AND  PITS","Alexandrium tamarense ATSP1-B[ORGN] AND  CO1","Alexandrium tamarense ATSP1-B[ORGN] AND  COI","Alexandrium tamarense ATSP1-B[ORGN] AND  COX1","Alexandrium tamarense ATSP1-B[ORGN] AND  FITS","Alexandrium tamarense ATSP1-B[ORGN] AND  ITS2","Alexandrium tamarense ATSP1-B[ORGN] AND  ITS1","Alexandrium tamarense ATSP1-B[ORGN] AND  trnl","Alexandrium tamarense ATSP1-B[ORGN] AND  12S"
"Alexandrium tamarense species complex group I","Alexandrium tamarense species complex group I[ORGN] AND 18S","Alexandrium tamarense species complex group I[ORGN] AND  16S","Alexandrium tamarense species complex group I[ORGN] AND  PITS","Alexandrium tamarense species complex group I[ORGN] AND  CO1","Alexandrium tamarense species complex group I[ORGN] AND  COI","Alexandrium tamarense species complex group I[ORGN] AND  COX1","Alexandrium tamarense species complex group I[ORGN] AND  FITS","Alexandrium tamarense species complex group I[ORGN] AND  ITS2","Alexandrium tamarense species complex group I[ORGN] AND  ITS1","Alexandrium tamarense species complex group I[ORGN] AND  trnl","Alexandrium tamarense species complex group I[ORGN] AND  12S"
"Alexandrium tamarense species complex group II","Alexandrium tamarense species complex group II[ORGN] AND 18S","Alexandrium tamarense species complex group II[ORGN] AND  16S","Alexandrium tamarense species complex group II[ORGN] AND  PITS","Alexandrium tamarense species complex group II[ORGN] AND  CO1","Alexandrium tamarense species complex group II[ORGN] AND  COI","Alexandrium tamarense species complex group II[ORGN] AND  COX1","Alexandrium tamarense species complex group II[ORGN] AND  FITS","Alexandrium tamarense species complex group II[ORGN] AND  ITS2","Alexandrium tamarense species complex group II[ORGN] AND  ITS1","Alexandrium tamarense species complex group II[ORGN] AND  trnl","Alexandrium tamarense species complex group II[ORGN] AND  12S"
"Alexandrium tamarense species complex group III","Alexandrium tamarense species complex group III[ORGN] AND 18S","Alexandrium tamarense species complex group III[ORGN] AND  16S","Alexandrium tamarense species complex group III[ORGN] AND  PITS","Alexandrium tamarense species complex group III[ORGN] AND  CO1","Alexandrium tamarense species complex group III[ORGN] AND  COI","Alexandrium tamarense species complex group III[ORGN] AND  COX1","Alexandrium tamarense species complex group III[ORGN] AND  FITS","Alexandrium tamarense species complex group III[ORGN] AND  ITS2","Alexandrium tamarense species complex group III[ORGN] AND  ITS1","Alexandrium tamarense species complex group III[ORGN] AND  trnl","Alexandrium tamarense species complex group III[ORGN] AND  12S"
"Alexandrium tamarense species complex group IV","Alexandrium tamarense species complex group IV[ORGN] AND 18S","Alexandrium tamarense species complex group IV[ORGN] AND  16S","Alexandrium tamarense species complex group IV[ORGN] AND  PITS","Alexandrium tamarense species complex group IV[ORGN] AND  CO1","Alexandrium tamarense species complex group IV[ORGN] AND  COI","Alexandrium tamarense species complex group IV[ORGN] AND  COX1","Alexandrium tamarense species complex group IV[ORGN] AND  FITS","Alexandrium tamarense species complex group IV[ORGN] AND  ITS2","Alexandrium tamarense species complex group IV[ORGN] AND  ITS1","Alexandrium tamarense species complex group IV[ORGN] AND  trnl","Alexandrium tamarense species complex group IV[ORGN] AND  12S"
"Corbula","Corbula[ORGN] AND 18S","Corbula[ORGN] AND  16S","Corbula[ORGN] AND  PITS","Corbula[ORGN] AND  CO1","Corbula[ORGN] AND  COI","Corbula[ORGN] AND  COX1","Corbula[ORGN] AND  FITS","Corbula[ORGN] AND  ITS2","Corbula[ORGN] AND  ITS1","Corbula[ORGN] AND  trnl","Corbula[ORGN] AND  12S"
"Myriophyllum spicatum","Myriophyllum spicatum[ORGN] AND 18S","Myriophyllum spicatum[ORGN] AND  16S","Myriophyllum spicatum[ORGN] AND  PITS","Myriophyllum spicatum[ORGN] AND  CO1","Myriophyllum spicatum[ORGN] AND  COI","Myriophyllum spicatum[ORGN] AND  COX1","Myriophyllum spicatum[ORGN] AND  FITS","Myriophyllum spicatum[ORGN] AND  ITS2","Myriophyllum spicatum[ORGN] AND  ITS1","Myriophyllum spicatum[ORGN] AND  trnl","Myriophyllum spicatum[ORGN] AND  12S"
"Botryllus schlosseri","Botryllus schlosseri[ORGN] AND 18S","Botryllus schlosseri[ORGN] AND  16S","Botryllus schlosseri[ORGN] AND  PITS","Botryllus schlosseri[ORGN] AND  CO1","Botryllus schlosseri[ORGN] AND  COI","Botryllus schlosseri[ORGN] AND  COX1","Botryllus schlosseri[ORGN] AND  FITS","Botryllus schlosseri[ORGN] AND  ITS2","Botryllus schlosseri[ORGN] AND  ITS1","Botryllus schlosseri[ORGN] AND  trnl","Botryllus schlosseri[ORGN] AND  12S"
